Sno,Movie_Name,Director_Name,Director_1,Director_2,Duration,Year,Ratings,Metascore
224,Death Proof,Quentin Tarantino,Quentin Tarantino,,127 min,2007,7.0,
225,The Lord of the Rings: The Two Towers,Peter Jackson,Peter Jackson,,179 min,2002,8.8,87
226,The Amazing Spider-Man,Marc Webb,Marc Webb,,136 min,2012,6.9,66
227,Sonic the Hedgehog 2,Jeff Fowler,Jeff Fowler,,122 min,2022,6.5,47
228,Everest,Baltasar Kormákur,Baltasar Kormákur,,121 min,2015,7.1,64
229,Face/Off,John Woo,John Woo,,138 min,1997,7.3,82
230,Tag (I),Jeff Tomsic,Jeff Tomsic,,100 min,2018,6.5,56
231,Super 8,J.J. Abrams,J.J. Abrams,,112 min,2011,7.0,72
232,Safe House,Daniel Espinosa,Daniel Espinosa,,115 min,2012,6.7,52
233,The Count of Monte Cristo,Kevin Reynolds,Kevin Reynolds,,131 min,2002,7.7,61
234,Upgrade,Leigh Whannell,Leigh Whannell,,100 min,2018,7.5,67
235,X-Men,Bryan Singer,Bryan Singer,,104 min,2000,7.3,64
236,Point Break,Kathryn Bigelow,Kathryn Bigelow,,122 min,1991,7.2,59
237,Die Hard,John McTiernan,John McTiernan,,132 min,1988,8.2,72
238,The Maze Runner,Wes Ball,Wes Ball,,113 min,2014,6.8,57
239,13 Hours,Michael Bay,Michael Bay,,144 min,2016,7.3,48
240,3:10 to Yuma,James Mangold,James Mangold,,122 min,2007,7.7,76
241,Jurassic World,Colin Trevorrow,Colin Trevorrow,,124 min,2015,6.9,59
242,Men in Black II,Barry Sonnenfeld,Barry Sonnenfeld,,88 min,2002,6.2,49
243,The Crow,Alex Proyas,Alex Proyas,,102 min,1994,7.5,71
244,Blade,Stephen Norrington,Stephen Norrington,,120 min,1998,7.1,47
245,Wonder Woman,Patty Jenkins,Patty Jenkins,,141 min,2017,7.4,76
246,Escape Room: Tournament of Champions,Adam Robitel,Adam Robitel,,88 min,2021,5.7,48
247,Venom: Let There Be Carnage,Andy Serkis,Andy Serkis,,97 min,2021,5.9,49
248,Mission: Impossible II,John Woo,John Woo,,123 min,2000,6.1,59
249,The Punisher,Jonathan Hensleigh,Jonathan Hensleigh,,124 min,2004,6.4,33
250,Lucy (I),Luc Besson,Luc Besson,,89 min,2014,6.4,61
251,Alita: Battle Angel,Robert Rodriguez,Robert Rodriguez,,122 min,2019,7.3,53
252,Akira,Katsuhiro Ôtomo,Katsuhiro Ôtomo,,124 min,1988,8.0,67
253,Star Wars: Episode VIII - The Last Jedi,Rian Johnson,Rian Johnson,,152 min,2017,6.9,84
254,Superman,Richard Donner,Richard Donner,,143 min,1978,7.4,82
255,The Book of Eli,"Albert Hughes, Allen Hughes",Albert Hughes,Allen Hughes,118 min,2010,6.8,53
256,The Running Man,Paul Michael Glaser,Paul Michael Glaser,,101 min,1987,6.7,45
257,Last Action Hero,John McTiernan,John McTiernan,,130 min,1993,6.4,44
258,Transformers: Age of Extinction,Michael Bay,Michael Bay,,165 min,2014,5.6,32
259,The Day After Tomorrow,Roland Emmerich,Roland Emmerich,,124 min,2004,6.4,47
260,Road House,Rowdy Herrington,Rowdy Herrington,,114 min,1989,6.7,36
261,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,Guy Ritchie,,107 min,1998,8.1,66
262,The Adam Project,Shawn Levy,Shawn Levy,,106 min,2022,6.7,55
263,Godzilla vs. Kong,Adam Wingard,Adam Wingard,,113 min,2021,6.3,59
264,Shotgun Wedding,Jason Moore,Jason Moore,,101 min,2022,5.4,46
265,Dungeons & Dragons,Courtney Solomon,Courtney Solomon,,107 min,2000,3.6,14
266,2012 (I),Roland Emmerich,Roland Emmerich,,158 min,2009,5.8,49
267,Snow White and the Huntsman,Rupert Sanders,Rupert Sanders,,127 min,2012,6.1,57
268,Bumblebee (I),Travis Knight,Travis Knight,,114 min,2018,6.7,66
269,Sonic the Hedgehog,Jeff Fowler,Jeff Fowler,,99 min,2020,6.5,47
270,G.I. Joe: Retaliation,Jon M. Chu,Jon M. Chu,,110 min,2013,5.7,41
271,Birds of Prey,Cathy Yan,Cathy Yan,,109 min,2020,6.0,60
272,The Last of the Mohicans,Michael Mann,Michael Mann,,112 min,1992,7.7,76
273,Predator,John McTiernan,John McTiernan,,107 min,1987,7.8,47
274,American Sniper,Clint Eastwood,Clint Eastwood,,133 min,2014,7.3,72
275,Murder Mystery,Kyle Newacheck,Kyle Newacheck,,97 min,2019,6.0,38
276,Constantine,Francis Lawrence,Francis Lawrence,,121 min,2005,7.0,50
277,No Escape (I),John Erick Dowdle,John Erick Dowdle,,103 min,2015,6.7,38
278,Total Recall,Paul Verhoeven,Paul Verhoeven,,113 min,1990,7.5,60
279,Spider-Man: Far from Home,Jon Watts,Jon Watts,,129 min,2019,7.4,69
280,Morbius,Daniel Espinosa,Daniel Espinosa,,104 min,2022,5.2,35
281,Star Trek Beyond,Justin Lin,Justin Lin,,122 min,2016,7.0,68
282,Hot Fuzz,Edgar Wright,Edgar Wright,,121 min,2007,7.8,81
283,Justice League,Zack Snyder,Zack Snyder,,120 min,2017,6.1,45
284,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Rob Marshall,,136 min,2011,6.6,45
285,Jack Reacher: Never Go Back,Edward Zwick,Edward Zwick,,118 min,2016,6.1,47
286,A Knight's Tale,Brian Helgeland,Brian Helgeland,,132 min,2001,6.9,56
287,Central Intelligence,Rawson Marshall Thurber,Rawson Marshall Thurber,,107 min,2016,6.3,52
288,Ambulance,Michael Bay,Michael Bay,,136 min,2022,6.1,55
289,Battleship,Peter Berg,Peter Berg,,131 min,2012,5.8,41
290,Mulan,Niki Caro,Niki Caro,,115 min,2020,5.7,66
291,Kung Fu Panda,"Mark Osborne, John Stevenson",Mark Osborne,John Stevenson,92 min,2008,7.6,74
292,Spider-Man 2,Sam Raimi,Sam Raimi,,127 min,2004,7.4,83
293,Captain America: Civil War,"Anthony Russo, Joe Russo",Anthony Russo,Joe Russo,147 min,2016,7.8,75
